_sOO32rszOs,,"Pc Rent Occurred Live    : Dr Pradip Mohanta - 4th May, 2024",This surgery video is only for education purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7NEEyeHe8Y,,TWO (OR FEW) JERKY PULLS to retrieve Rhexis - Pradip Mohanta,The capsular Tag has to be in flipped position before you apply the Jerky pulls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uhRzRUVCaD0,,"TRAB WITH Releasable sutures LIVE  SURGERY    : Dr Pradip Mohanta, - 8th October, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WaG9JFe1Ds4,,"LIVE  SURGERY    : Dr Pradip Mohanta, - 17  September, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xXYrPKxXWlc,,"LIVE  SURGERY    : Dr Pradip Mohanta, - 17  September, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0kgjTFyh54,,?????? ????-?? ??????? - 2021 ????? ???? ????????,"??? ???? ?????, ????? ?? ???? ???-??? ??? ?????? ?? ???? ???????? ?????????? ???? ??? ???? ???? ?????? ????? ????????
?? ????? ??????, ???? ????????, ????? ?????? ???? ?????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hGHQZOiknT4,,"""Doctor, You take the machine, Pay whenever you can"" - Pradip Mohanta, July, 2023","This video has been made not to promote the machine. It has been made as an expression of gratitude to Appasamy Associates, Mr Ayyalusamy, Mr Selvaraj, Late Mr Radhakrishman. When I didn't have my own OT and was operating at another place, Mr Radhakrishnan said, ""Doctor, Microscope is the mother of all developments. Please have your own microscope."" I didn't hesitate to take the Nikon head, Appa stand microscope and start ECCE, listening to him. 
Now, I own a Lumera-T microscope. But I believe in the secret corner of my mind that ""that Nikon head 66k microscope is the mother of this 75L Lumera-T"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-X0WGtaeMQ,,Ocular ANATOMY for Optometrists - Live dissection - Some words are in the Bengali Language,"Dear Optometrists,
You play a very important role in Eye Care. 
Refraction is the most important thing an optometrist must master. 
Streak Retinoscope is the basic instrument which an optometrist must own as early in their training period as possible. You must know the diagnosis as treatment of common eye diseases, surgical options of various eye disorders, Refraction, orthoptics, ocular prosthesis, Low Vision Aids, Contact lenses, various types of glasses and you must develop an attractive personality and good communication skills.
Wish you success and happiness in your lives.
Please watch this video also:
https://youtu.be/tSXiwWxsfcY
Best wishes,
Pradip Mohanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9XmCWDM_jJg,,"MoMiRhex : Mohanta's Mini Rhexis - use of ONLY HPMC : 4th July, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fODWRXrGPOs,,"I cannot pierce the anterior capsule with Utrata forceps : Pradip Mohanta, 28th May, 202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1knkDBHKypY,,"3 Challenges : Small pupil, Shallow anterior chamber and Vitreous Upthrust - P Mohanta, 9 May, 2021",Vitreous upthrust in this case is probably due to peribulbar block. This patient had narrow angle for which YAG laser capsulotomy was done. B-HEX was used to dilate the pupil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS8cH9BxEbU,,"Overcoming 3 challenges in a single case - edited to 4 minutes : Pradip Mohanta, 14th August, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cN_PyMmeyto,,"Managing a stuck haptic : Pradip Mohanta, 24 July, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnwT8DjhFtA,,"Management of a case with Traumatic zonular Tear - with postop Pictures : P K Mohanta, 16 July, 2021",The surgery took a lot of time about 35 minutes. But outcome is great. See the postop pictures at the end.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NF83P4rulD4,,"Application and Removal of B-HEX pupil expansion device: Pradip Mohanta, India, 11th May, 2021","B-HEX is a thin, versatile pupil expansion device invented by Dr Suven Bhattacharjee of Kolkata, India. This is the only pupil expansion device affordable in India, Bangladesh, Burma etc. A 23 G B-HEX forceps is recommended for its application and removal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1knkDBHKypY,,"3 Challenges : Small pupil, Shallow anterior chamber and Vitreous Upthrust - P Mohanta, 9 May, 2021",Vitreous upthrust in this case is probably due to peribulbar block. This patient had narrow angle for which YAG laser capsulotomy was done. B-HEX was used to dilate the pupil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lrJdTZOYwfk,,"What are these minute white dots on the posterior capsule ? - Pradip Mohanta, 26 April, 2021","I saw a similar case long back. The white dots are bilateral. They are fine and are firmly stuck to the posterior capsule.
Probably these dots will not cause significant impairment of vision. If it does, YAG laser capsulotomy may solve the problem.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
