YCdVuRry0e0,retinal;,Dynamic View of the Floating Retinal Veins,"A 4-year-old girl, with a positive family history, was diagnosed with stage 2 familial exudative vitreoretinopathy. In this video of fluorescein angiography, at the supratemporal and infratemporal vascular arcades, the anomalous retinal veins were floating in the vitreous cavity. No other tissue was attached to the blood vessel. Both the posterior and peripheral sides of the floating veins were attached so that the floating segments could swing along with the sway of the eyeball.

Click https://ja.ma/3PYxXRs for full details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4CgZGNxzmns,pars plana vitrectomy;vitrectomy;vitrectomy;,Choroidal Indentation After Combined Vitrectomy and Manual Intraoperative Suprachoroidal Viscopexy,"Combined pars plana vitrectomy and suprachoroidal viscopexy (SCVEXY) were performed for additional support of the temporal breaks in a macula-off detachment with multiple breaks. This video highlights the part of the procedure in which the choroidal dome-shaped convexity is formed, following the suprachoroidal injection of sodium hyaluronate, 2.3%, viscoelastic agent (Healon 5; Abbott Medical Optics). The viscoelastic was injected manually by the assistant while the surgeon maintained needle placement. Click https://ja.ma/3tbCJCI for full case details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca-f7mG4-cw,retinal;pars plana vitrectomy;vitrectomy;vitrectomy;,Vitrectomy and Intraoperative Suprachoroidal Viscopexy Using Viscous Fluid Control Injection,"Combined pars plana vitrectomy and suprachoroidal viscopexy (SCVEXY) were performed for additional support of the inferior temporal breaks in a macula-off detachment with multiple breaks. This video highlights the part of the procedure in which the SCVEXY is being performed intraoperatively. The transconjunctival suprachoroidal injection of sodium hyaluronate, 2.3%, viscoelastic agent (Healon 5; Abbott Medical Optics) was carried out in the inferior temporal quadrant under subconjunctival anesthesia, using a 30G needle with a custom-made guard made using intravenous tubing (CHS Med-RX Lot 165225). The guard was made such that only 1 mm of the needle length was exposed. Prior to the injection, the site was verified internally under the microscope as being under the center of the retinal breaks, and the needle position was confirmed to not be too deep. While 0.4 mL of viscoelastic was injected under direct visualization using the viscous fluid control of the vitrectomy machine, a dome-shaped choroidal elevation formed. Click https://ja.ma/3tbCJCI for full case details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m4F2j6STRE,retinal;,In-Office Suprachoroidal Viscopexy,"This video demonstrates a suprachoroidal viscopexy (SCVEXY) procedure being performed in the office setting. After discussing the treatment options and informed consent, subconjunctival anesthesia with lidocaine was given. Transconjunctival injection of suprachoroidal sodium hyaluronate, 1% (Provisc; Alcon), was carried out in the superior temporal quadrant (in the region of the vitreous base), and the injection site was verified internally with indirect ophthalmoscopy. While the viscoelastic was injected by the assistant, a dome-shaped choroidal elevation formed around the injection site. Following the procedure, external pressure was applied at the injection site to reduce the risk of hemorrhage and to prevent reflux of the viscoelastic. Central retinal artery perfusion was confirmed prior to discharge of the patient. The patient was able to resume normal activity the day after the procedure with no restrictions. Click https://ja.ma/3tbCJCI for full case details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m83ao2vCEkU,retina;retinal;,Fluorescein Angiography of the Left Eye at Baseline and at 3-Year Follow-Up,"A 38-year-old woman with neurofibromatosis type 1 presented for routine ophthalmic examination due to peripheral retinal capillary nonperfusion in the left eye. Three years earlier, fluorescein angiography had shown signs of chronic vascular abnormalities primarily in the superior retina, but an expected anterograde flow through the central retinal artery was preserved. Current fluorescein angiography revealed that the central and temporal macula was now being perfused by retrograde flow through a newly formed chorioretinal anastomosis located in a photocoagulation scar. Corrected visual acuity was maintained at 20/20 OU. The laser-induced chorioretinal anastomosis had potentially salved the macula from catastrophic ischemia due to neurofibromatosis-associated retinal arterial occlusive disease. 

Click https://ja.ma/455xTE1 for full details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aBlG3Xaj0AU,lacrimal;conjunctiva;conjunctival peritomy;,Surgical Removal of Subconjunctival Thelazia,"Thelazia callipaeda has spread from Southeast Asia to all European countries. When a fly contacts the skin, the larva is released and develops in the lacrimal secretions; it is transmitted when flies feed on the secretions of hosts. In this video, a 49-year-old Chinese woman presented with paroxysmal symptoms of a crawling sensation and pruritis in her left eye for 1 week. Under slitlamp examination, simultaneous with the crawling sensation, movement of a white worm beneath the temporal bulbar conjunctiva was noted. Following a small conjunctival peritomy, forceps were used to remove the worm. Click https://ja.ma/3pNmuKm for full case details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sPr61uilmr8,corneal;lens;emulsification;phaco;,Illustration of the Swab Pressing Technique,"In phacoemulsification, intraoperative incision leakage often occurs, especially after the withdrawal of a handpiece tip. Intraoperative leakage could lead to the transient collapse of the anterior chamber. With the help of an external slit illuminator, we found significant forward movement of the posterior capsule, iris, and intraocular lens. The posterior capsule or intraocular lens could make contact with the corneal endothelium. In this video, we applied downward pressure on the incision with a cotton swab immediately after the withdrawal of a handpiece tip for about 30 seconds, called swab pressing. This simple technique seems able to seal the incision instantly and may help to prevent the anterior chamber collapse and related damages without injecting a solution to hydrate the corneal stroma. Click https://ja.ma/3nDGjTt for full case details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oJFBND6uoCU,emulsification;phaco;cataract;,Nematode on Conjunctival Surface With Additional Nematode Seen at Cataract Surgery 3 Months Later,"A patient was noted to have a nematode on her conjunctival surface when evaluated for a foreign body sensation in her left eye for 1 month. After slitlamp examination, the nematode was removed and subsequently identified as an adult Thelazia callipaeda worm. The patient returned for cataract surgery 3 months later. During phacoemulsification, another nematode was noted in the surgical field and removed, with no nematodes subsequently detected over the next several years. Click https://ja.ma/4370pW9 for full case details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uQQ-lfvnibU,retinal;retinal detachment;vitrectomy;vitrectomy;suprachoroidal fluid drainage;,Suprachoroidal Fluid Drainage,"A modified trocar/cannula system is used to drain suprachoroidal fluid during a primary vitrectomy for a rhegmatogenous retinal detachment associated with a choroidal detachment. Both the trocar and cannula are extended, which may reduce the risk of misdirecting infusion into suprachoroidal space. Additionally, the micropores on each side of the cannula are located 1.0 mm from the cannula root, placing them between the sclera and choroid as much as possible to try to facilitate drainage. After inserting the infusion catheter, all micropores should be blocked, avoiding fluid reflux into the suprachoroidal space during the vitrectomy. Click https://ja.ma/3PF8UQB for full details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3pI5cvs2vtw,retinal;,Volume Rendering of Type 3 Macular Neovascularization from OCT Angiography,"Volume rendering of structural optical coherence tomography (OCT) and OCT angiography of type 3 macular neovascularization shows 3-dimensional view of the vascular abnormalities in the superior portion of the macula when rotated 180～. In addition, the coronal view shows blood flow from OCT angiography immediately below the deep capillary plexus in 2 distinct areas. When the structural OCT (gray) is superimposed on the OCT angiography (yellow), the neovascular blood flow can be seen within a hyperreflective area at the level of the outer nuclear layer. The retinal artery (red) and vein (blue) from fluorescein angiography can be superimposed on the OCT angiography image, also highlighting the perpendicular connections of this artery and vein to the macular neovascularization.

Click https://ja.ma/386v8KW for full case details.",macular neovascularization,BC-6302201668001,10.1001/jamaophthalmol.2022.913,optical coherence tomography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
